,spot,wave_direction,wave_type,crowd_level,reg_link,latitude,longitude
1,Brandons,Left,Reef break,Empty,https://surfing-waves.com/atlas/north_america/caribbean/barbados/spot/brandons.html,13.07345867156982,-59.61173248291016
2,Church Point,Right,Reef break,Not Too Bad,https://surfing-waves.com/atlas/north_america/caribbean/barbados/spot/church_point.html,13.16724681854248,-59.63925933837891
3,Duppies,Right,Reef break,Empty,https://surfing-waves.com/atlas/north_america/caribbean/barbados/spot/duppies.html,13.31746673583984,-59.64584732055664
4,Frieghts,Left,Reef break,Can Get Busy,https://surfing-waves.com/atlas/north_america/caribbean/barbados/spot/frieghts.html,13.05326747894287,-59.53697204589844
5,Maycocks,Right,Reef break,Not Too Bad,https://surfing-waves.com/atlas/north_america/caribbean/barbados/spot/maycocks.html,13.28184223175049,-59.65149307250977
6,Mullins,Left,Reef break,Not Too Bad,https://surfing-waves.com/atlas/north_america/caribbean/barbados/spot/mullins.html,13.23367881774902,-59.64816665649414
7,Parlour,Right & left,Reef break,Can Get Busy,https://surfing-waves.com/atlas/north_america/caribbean/barbados/spot/parlour.html,13.21253967285156,-59.52392578125000
8,Sand Bank,Right & left,Beach break,Can Get Busy,https://surfing-waves.com/atlas/north_america/caribbean/barbados/spot/sand_bank.html,13.22089576721191,-59.52766036987305
9,Sandy Lane,Left,Reef break,Busy,https://surfing-waves.com/atlas/north_america/caribbean/barbados/spot/sandy_lane.html,13.17343139648438,-59.64091110229492
10,Soup Bowl,Right,Reef break,Not Too Bad,https://surfing-waves.com/atlas/north_america/caribbean/barbados/spot/soup_bowl.html,13.21788787841797,-59.52091979980469
11,South Point,Left,Reef break,Can Get Busy,https://surfing-waves.com/atlas/north_america/caribbean/barbados/spot/south_point.html,13.04748725891113,-59.53302001953125
12,Surfer's Point,Left,Point break,Busy,https://surfing-waves.com/atlas/north_america/caribbean/barbados/spot/surfers_point.html,13.05255603790283,-59.50534439086914
0,Anchor Point,Right,Point break,Busy,https://surfing-waves.com/atlas/africa/morocco/spot/anchor_point.html,30.54513168334961,-9.72661209106445
1,Banana point,Right,Point break,Not Too Bad,https://surfing-waves.com/atlas/africa/morocco/spot/banana_point.html,30.49956703186035,-9.68573570251465
2,Boilers,Right,Reef break,Can Get Busy,https://surfing-waves.com/atlas/africa/morocco/spot/boilers.html,30.62343597412109,-9.88185882568359
3,Cherry,Right,Reef break,Empty,https://surfing-waves.com/atlas/africa/morocco/spot/cherry.html,30.35223770141602,-9.61715698242188
4,Cro Cro,Right & left,Beach break,Not Too Bad,https://surfing-waves.com/atlas/africa/morocco/spot/cro_cro.html,30.51096153259277,-9.68818187713623
5,Dahomey,Right & left,Beach break,Empty,https://surfing-waves.com/atlas/africa/morocco/spot/dahomey.html,33.80760955810547,-7.18827724456787
6,Desert Point,Right,Reef break,Empty,https://surfing-waves.com/atlas/africa/morocco/spot/desert_point.html,30.62269783020020,-9.81624126434326
7,Devil's Rock,Right & left,Beach break,Not Too Bad,https://surfing-waves.com/atlas/africa/morocco/spot/divel_s_rock.html,30.50400543212891,-9.68567085266113
8,Draculas',Right,Point break,Empty,https://surfing-waves.com/atlas/africa/morocco/spot/draculas.html,30.62077713012695,-9.86091613769531
9,Hash Point,Right,Point break,Not Too Bad,https://surfing-waves.com/atlas/africa/morocco/spot/hash_point.html,30.54423904418945,-9.72560405731201
10,Imsouane,Right,Point break,Not Too Bad,https://surfing-waves.com/atlas/africa/morocco/spot/imsouane.html,30.83798408508301,-9.82023239135742
11,Imsouane Surf,Right & left,Point break,Not Too Bad,https://surfing-waves.com/atlas/africa/morocco/spot/imsouane_surf.html,30.84181594848633,-9.81924533843994
12,Killer Point,Right,Point break,Can Get Busy,https://surfing-waves.com/atlas/africa/morocco/spot/killer_point.html,30.55076789855957,-9.74010944366455
13,Killers Beach,Right,Beach break,Mental,https://surfing-waves.com/atlas/africa/morocco/spot/killers_beach.html,30.41196632385254,-9.60436820983887
14,Oudaya,Right & left,Rivermouth,Can Get Busy,https://surfing-waves.com/atlas/africa/morocco/spot/oudaya.html,34.03358078002930,-6.83751964569092
15,Panorama,Right,Point break,Can Get Busy,https://surfing-waves.com/atlas/africa/morocco/spot/panorama.html,30.54241561889648,-9.70854377746582
16,Safi,Right,Point break,Busy,https://surfing-waves.com/atlas/africa/morocco/spot/safi.html,32.31034851074219,-9.26490783691406
17,Sidi kaouki,Right & left,Point break,Not Too Bad,https://surfing-waves.com/atlas/africa/morocco/spot/sidi_kaouki.html,31.38539505004883,-9.83115386962891
18,Tamri,Right & left,Reef break,Can Get Busy,https://surfing-waves.com/atlas/africa/morocco/spot/tamri.html,30.71084785461426,-9.85860919952393
19,Unicorns',Right,Reef break,Empty,https://surfing-waves.com/atlas/africa/morocco/spot/unicorns.html,30.62321472167969,-9.86926364898682
0,Barra de Santiago,Right,Beach break,Empty,https://surfing-waves.com/atlas/north_america/central_america/el_salvador/spot/barra_de_santiago.html,13.69002246856689,-90.00823974609375
1,Bocana,Right & left,Rivermouth,Busy,https://surfing-waves.com/atlas/north_america/central_america/el_salvador/spot/bocana.html,13.48862743377686,-89.38927459716797
2,Cocal,Right,Point break,Can Get Busy,https://surfing-waves.com/atlas/north_america/central_america/el_salvador/spot/cocal.html,13.48144912719727,-89.35163879394531
3,Cristo de Salinitas,Right & left,Reef break,Empty,https://surfing-waves.com/atlas/north_america/central_america/el_salvador/spot/cristo_de_salinitas.html,13.53920078277588,-89.82267761230469
4,El Palmarcito,Right,Beach break,Empty,https://surfing-waves.com/atlas/north_america/central_america/el_salvador/spot/el_palmarcito.html,13.49288368225098,-89.42137145996094
5,El Pimental,Right & left,Beach break,Empty,https://surfing-waves.com/atlas/north_america/central_america/el_salvador/spot/el_pimental.html,13.37659358978271,-89.08680725097656
6,El Sunzal,Right,Point break,Packed,https://surfing-waves.com/atlas/north_america/central_america/el_salvador/spot/el_sunzal.html,13.49058914184570,-89.39070892333984
7,El Zonte Beach,Right & left,Beach break,Can Get Busy,https://surfing-waves.com/atlas/north_america/central_america/el_salvador/spot/el_zonte_beach.html,13.49292564392090,-89.44264984130860
8,El Zonte Point,Right,Point break,Not Too Bad,https://surfing-waves.com/atlas/north_america/central_america/el_salvador/spot/el_zonte_point.html,13.49250793457031,-89.43727111816406
9,K59,Right,Point break,Not Too Bad,https://surfing-waves.com/atlas/north_america/central_america/el_salvador/spot/k59.html,13.49563789367676,-89.47089385986328
10,Km 61,Right,Point break,Empty,https://surfing-waves.com/atlas/north_america/central_america/el_salvador/spot/km_61.html,13.49330139160156,-89.47956848144531
11,Las Flores,Right,Point break,Can Get Busy,https://surfing-waves.com/atlas/north_america/central_america/el_salvador/spot/las_flores.html,13.16373634338379,-88.11919403076172
12,Mizata Point,Right & left,Rivermouth,Not Too Bad,https://surfing-waves.com/atlas/north_america/central_america/el_salvador/spot/mizata_point.html,13.50903320312500,-89.59626770019531
13,Punt Mango,Right,Point break,Can Get Busy,https://surfing-waves.com/atlas/north_america/central_america/el_salvador/spot/punt_mango.html,13.16455841064453,-88.19039154052734
14,Punta Remedios,Right & left,Reef break,Empty,https://surfing-waves.com/atlas/north_america/central_america/el_salvador/spot/punta_remedios.html,13.50682163238525,-89.80413818359375
15,Punta Roca,Right,Point break,Busy,https://surfing-waves.com/atlas/north_america/central_america/el_salvador/spot/punta_roca.html,13.47760963439941,-89.32481384277344
16,San Blas,Right & left,Point break,Empty,https://surfing-waves.com/atlas/north_america/central_america/el_salvador/spot/san_blas.html,13.48662376403809,-89.35030364990234
17,Toro de Oro,Right,Point break,Empty,https://surfing-waves.com/atlas/north_america/central_america/el_salvador/spot/toro_de_oro.html,13.16827106475830,-88.11856079101562
0,Boca los Tubos,Right,Rivermouth,Not Too Bad,https://surfing-waves.com/atlas/north_america/caribbean/puerto_rico/spot/boca_los_tubos.html,18.47338485717773,-66.44808197021484
1,Bridges,Left,Beach break,Not Too Bad,https://surfing-waves.com/atlas/north_america/caribbean/puerto_rico/spot/bridges.html,18.42560958862305,-67.15547180175781
2,Crash Boat Beach,Right & left,Breakwater / groyne,Packed,https://surfing-waves.com/atlas/north_america/caribbean/puerto_rico/spot/crash_boat_beach.html,18.45640754699707,-67.16461944580078
3,Domes,Right,Reef break,Busy,https://surfing-waves.com/atlas/north_america/caribbean/puerto_rico/spot/domes.html,18.36474990844727,-67.27049255371094
4,Flamenco beach - Culebra Island,Right,Reef break,Empty,https://surfing-waves.com/atlas/north_america/caribbean/puerto_rico/spot/flamenco_beach_culebra_island.html,18.33334350585938,-65.31741333007812
5,Gas Chambers,Right,Reef break,Busy,https://surfing-waves.com/atlas/north_america/caribbean/puerto_rico/spot/gas_chambers.html,18.46007156372070,-67.16637420654297
6,Inches,Left,Reef break,Busy,https://surfing-waves.com/atlas/north_america/caribbean/puerto_rico/spot/inches.html,17.97090148925781,-65.96146392822266
7,Isla Verde,Right & left,Reef break,Not Too Bad,https://surfing-waves.com/atlas/north_america/caribbean/puerto_rico/spot/isla_verde.html,18.44842720031738,-66.01671600341797
8,Jobo's,Right,Reef break,Can Get Busy,https://surfing-waves.com/atlas/north_america/caribbean/puerto_rico/spot/jobos.html,18.51566696166992,-67.07848358154297
9,La Ocho,Right & left,Reef break,Packed,https://surfing-waves.com/atlas/north_america/caribbean/puerto_rico/spot/la_ocho.html,18.46721458435059,-66.09262084960938
10,Middles,Right,Reef break,Can Get Busy,https://surfing-waves.com/atlas/north_america/caribbean/puerto_rico/spot/middles.html,18.51672554016113,-67.03462219238281
11,Steps,Right,Reef break,Busy,https://surfing-waves.com/atlas/north_america/caribbean/puerto_rico/spot/steps.html,18.34857940673828,-67.26383972167969
12,Surfer's Beach,Right,Reef break,Packed,https://surfing-waves.com/atlas/north_america/caribbean/puerto_rico/spot/surfers_beach.html,18.50624656677246,-67.14167785644531
13,Table Top,Right,Reef break,Not Too Bad,https://surfing-waves.com/atlas/north_america/caribbean/puerto_rico/spot/table_top.html,18.50948143005371,-67.13723754882812
14,Tres Palmas,Right & left,Reef break,Can Get Busy,https://surfing-waves.com/atlas/north_america/caribbean/puerto_rico/spot/tres_palmas.html,18.34817123413086,-67.26452636718750
15,Tubos,Right & left,Reef break,Not Too Bad,https://surfing-waves.com/atlas/north_america/caribbean/puerto_rico/spot/tubos.html,18.47309875488281,-66.44901275634766
0,Tofinho Point,Right,Reef break,Empty,https://surfing-waves.com/atlas/africa/mozambique/spot/tofinho_point.html,-23.86499977111816,35.55250930786133
0,Skeleton Bay,Left,Point break,Empty,https://surfing-waves.com/atlas/africa/namibia/spot/skeleton_bay.html,-22.94448280334473,14.35981750488281
0,La Aguada,Right & left,Beach break,Busy,https://surfing-waves.com/atlas/south_america/uruguay/spot/la_aguada.html,-34.63603210449219,-54.14749145507812
1,La Boca,Right & left,Rivermouth,Can Get Busy,https://surfing-waves.com/atlas/south_america/uruguay/spot/la_boca.html,-34.91841506958008,-54.86540222167969
2,Playa el Emir,Right,Beach break,Busy,https://surfing-waves.com/atlas/south_america/uruguay/spot/playa_el_emir.html,-34.96256637573242,-54.94002914428711
0,Riyuewan Beach,Right,Beach break,Empty,https://surfing-waves.com/atlas/asia/china/spot/riyuewan_beach.html,18.56007194519043,110.16248321533203
1,Shilaoren,Right & left,Beach break,Empty,https://surfing-waves.com/atlas/asia/china/spot/shilaoren.html,36.08829879760742,120.46590423583984
0,Coastguards,Right & left,Beach break,Busy,https://surfing-waves.com/atlas/north_america/usa/east_coast/new_york/spot/coastguards.html,40.61993789672852,-73.38562774658203
1,Gilgo,Left,Beach break,Busy,https://surfing-waves.com/atlas/north_america/usa/east_coast/new_york/spot/gilgo.html,40.61909866333008,-73.38770294189453
2,Home of Jaws,Right & left,Beach break,Empty,https://surfing-waves.com/atlas/north_america/usa/east_coast/new_york/spot/home_of_jaws.html,41.02397918701172,-71.96622467041016
3,Lido,Left,Beach break,Can Get Busy,https://surfing-waves.com/atlas/north_america/usa/east_coast/new_york/spot/lido.html,40.58580017089844,-73.61713409423828
4,Long Beach,Right & left,Beach break,Mental,https://surfing-waves.com/atlas/north_america/usa/east_coast/new_york/spot/long_beach.html,40.58281707763672,-73.66107940673828
5,North Bar,Right,Point break,Not Too Bad,https://surfing-waves.com/atlas/north_america/usa/east_coast/new_york/spot/north_bar.html,41.07215118408203,-71.85652923583984
6,Rockaway,Right & left,Beach break,Can Get Busy,https://surfing-waves.com/atlas/north_america/usa/east_coast/new_york/spot/rockaway.html,40.58387756347656,-73.81180572509766
7,Sailors Haven,Right & left,Beach break,Empty,https://surfing-waves.com/atlas/north_america/usa/east_coast/new_york/spot/sailors_haven.html,40.65472793579102,-73.10414123535156
8,Smith Point,Left,Beach break,Empty,https://surfing-waves.com/atlas/north_america/usa/east_coast/new_york/spot/smith_point.html,40.73217010498047,-72.85995483398438
9,The Jetty at Ditch Plains,Left,Breakwater / groyne,Can Get Busy,https://surfing-waves.com/atlas/north_america/usa/east_coast/new_york/spot/the_jetty_at_ditch_plains.html,41.03958129882812,-71.91426849365234
10,Tobay,Left,Beach break,Can Get Busy,https://surfing-waves.com/atlas/north_america/usa/east_coast/new_york/spot/tobay.html,40.61030197143555,-73.41854095458984
0,Boca Barranca,Left,Point break,Busy,https://surfing-waves.com/atlas/north_america/central_america/costa_rica/spot/boca_barranca.html,9.95447921752930,-84.74732971191406
1,Brasilito,Right & left,Reef break,Can Get Busy,https://surfing-waves.com/atlas/north_america/central_america/costa_rica/spot/brasilito.html,10.40557765960693,-85.80197906494140
2,Bugs place,Right & left,Rivermouth,Not Too Bad,https://surfing-waves.com/atlas/north_america/central_america/costa_rica/spot/bugs_place.html,9.75017356872559,-82.81586456298828
3,Dominicalito,Right & left,Beach break,Empty,https://surfing-waves.com/atlas/north_america/central_america/costa_rica/spot/dominicalito.html,9.13554286956787,-83.78723144531250
4,Esterillos Oeste,Right & left,Beach break,Not Too Bad,https://surfing-waves.com/atlas/north_america/central_america/costa_rica/spot/esterillos_oeste.html,9.52560234069824,-84.50331115722656
